vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations
85,0.125,640,54,0.2816746234893799,54
85,0.25,486,52,0.3117544651031494,52
85,0.5,238,56,0.520045280456543,56
85,0.75,207,56,1.2183303833007812,56
86,0.125,945,58,0.24462080001831055,58
86,0.25,516,53,0.4340369701385498,53
86,0.5,328,56,0.8879349231719971,56
86,0.75,181,60,1.96943998336792,60
87,0.125,526,49,0.19121718406677246,49
87,0.25,611,57,0.6838486194610596,57
87,0.5,243,55,0.9726674556732178,55
87,0.75,178,57,1.758436918258667,57
88,0.125,715,52,0.2808105945587158,52
88,0.25,515,56,0.5636849403381348,56
88,0.5,265,60,0.9890432357788086,60
88,0.75,201,57,1.628800392150879,57
89,0.125,571,53,0.17887043952941895,53
89,0.25,434,58,0.44574642181396484,58
89,0.5,250,59,0.9532303810119629,59
89,0.75,255,54,1.633141279220581,54
90,0.125,669,56,0.3148674964904785,56
90,0.25,365,52,0.3390531539916992,52
90,0.5,318,63,0.8994081020355225,63
90,0.75,164,58,1.5773882865905762,58
91,0.125,663,56,0.17872309684753418,56
91,0.25,403,58,0.6662654876708984,58
91,0.5,247,57,1.114546775817871,57
91,0.75,194,57,1.4706213474273682,57
92,0.125,669,52,0.2774946689605713,52
92,0.25,674,59,0.685570478439331,59
92,0.5,255,58,1.1315510272979736,58
92,0.75,213,59,1.2682034969329834,59
93,0.125,773,64,0.27638959884643555,64
93,0.25,511,60,0.8479108810424805,60
93,0.5,295,58,1.132176160812378,58
93,0.75,216,58,2.411163330078125,58
94,0.125,768,60,0.30707478523254395,60
94,0.25,518,62,0.4893317222595215,62
94,0.5,206,61,0.8898210525512695,61
94,0.75,269,61,2.936479091644287,61
95,0.125,458,55,0.25368261337280273,55
95,0.25,404,59,0.4540250301361084,59
95,0.5,187,59,0.7079720497131348,59
95,0.75,231,61,1.80726957321167,61
96,0.125,621,58,0.3205883502960205,58
96,0.25,471,56,0.6672506332397461,56
96,0.5,248,60,0.9804215431213379,60
96,0.75,255,60,1.8986308574676514,60
97,0.125,720,60,0.3323078155517578,60
97,0.25,450,64,0.9583978652954102,64
97,0.5,315,61,1.2467734813690186,61
97,0.75,148,60,1.6821463108062744,60
98,0.125,610,65,0.30614256858825684,65
98,0.25,435,67,0.5258262157440186,67
98,0.5,292,63,1.1737186908721924,63
98,0.75,309,62,2.368474245071411,62
99,0.125,772,63,0.1231377124786377,63
99,0.25,504,65,0.5628554821014404,65
99,0.5,250,64,0.897554874420166,64
99,0.75,230,63,1.713167667388916,63
100,0.125,1094,66,0.5074033737182617,66
100,0.25,435,60,0.8059737682342529,60
100,0.5,317,64,1.6548326015472412,64
100,0.75,237,67,2.670715093612671,67
101,0.125,702,63,0.34806346893310547,63
101,0.25,396,64,0.8481388092041016,64
101,0.5,361,60,2.2619359493255615,60
101,0.75,174,65,3.0679471492767334,65
102,0.125,599,59,0.3514058589935303,59
102,0.25,530,67,0.6761555671691895,67
102,0.5,231,62,1.2765154838562012,62
102,0.75,159,63,2.4131686687469482,63
103,0.125,638,63,0.45352602005004883,63
103,0.25,479,68,0.9340522289276123,68
103,0.5,214,64,1.2865262031555176,64
103,0.75,301,63,3.1590020656585693,63
104,0.125,728,65,0.4274446964263916,65
104,0.25,412,64,0.37018370628356934,64
104,0.5,294,67,2.247361421585083,67
104,0.75,171,64,1.5252249240875244,64
105,0.125,859,66,0.3526027202606201,66
105,0.25,407,65,0.7266409397125244,65
105,0.5,256,70,1.8210930824279785,70
105,0.75,191,63,4.063420534133911,63
106,0.125,782,66,0.27614927291870117,66
106,0.25,466,66,0.4465775489807129,66
106,0.5,368,74,2.134549140930176,74
106,0.75,177,66,3.1928257942199707,66
107,0.125,902,68,0.5619595050811768,68
107,0.25,486,66,1.0863728523254395,66
107,0.5,256,68,2.0456926822662354,68
107,0.75,194,71,2.9890029430389404,71
108,0.125,547,68,0.26005125045776367,68
108,0.25,350,67,0.7287309169769287,67
108,0.5,296,71,2.165790319442749,71
108,0.75,149,69,2.0451812744140625,69
109,0.125,685,64,0.3446323871612549,64
109,0.25,411,67,0.6770074367523193,67
109,0.5,283,68,1.695451021194458,68
109,0.75,187,68,2.9616506099700928,68
110,0.125,734,64,0.3279285430908203,64
110,0.25,398,68,0.8362419605255127,68
110,0.5,235,71,0.9495580196380615,71
110,0.75,241,72,3.7050464153289795,72
111,0.125,831,70,0.4606313705444336,70
111,0.25,439,72,0.9195404052734375,72
111,0.5,250,71,2.5487101078033447,71
111,0.75,281,70,4.236218690872192,70
112,0.125,832,70,0.7165217399597168,70
112,0.25,390,70,0.5135729312896729,70
112,0.5,320,73,2.8287508487701416,73
