vertices_num,percentage_max_num_edges,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold
20,0.5,461,11,0.19900870323181152,138854,10000,0.25,0.5
20,0.75,573,13,0.2583134174346924,230328,10000,0.25,0.5
21,0.125,307,8,0.09983134269714355,26128,10000,0.25,0.5
21,0.25,508,10,0.14778685569763184,79025,10000,0.25,0.5
21,0.5,521,12,0.20844388008117676,155817,10000,0.25,0.5
21,0.75,612,16,0.24816513061523438,204485,10000,0.25,0.5
22,0.125,457,10,0.10470008850097656,33571,10000,0.25,0.5
22,0.25,480,14,0.16434645652770996,99743,10000,0.25,0.5
22,0.5,519,14,0.18341350555419922,117076,10000,0.25,0.5
22,0.75,628,16,0.2607443332672119,211070,10000,0.25,0.5
23,0.125,377,10,0.13060402870178223,63315,10000,0.25,0.5
23,0.25,527,12,0.16353774070739746,94878,10000,0.25,0.5
23,0.5,486,14,0.16931605339050293,99489,10000,0.25,0.5
23,0.75,664,17,0.2455596923828125,189553,10000,0.25,0.5
24,0.125,392,11,0.12554216384887695,55666,10000,0.25,0.5
24,0.25,440,12,0.1581873893737793,83274,10000,0.25,0.5
24,0.5,784,16,0.19886136054992676,131314,10000,0.25,0.5
24,0.75,799,20,0.21953916549682617,159892,10000,0.25,0.5
25,0.125,459,9,0.1288471221923828,58409,10000,0.25,0.5
25,0.25,642,14,0.1802830696105957,113738,10000,0.25,0.5
25,0.5,835,18,0.21558380126953125,150231,10000,0.25,0.5
25,0.75,763,24,0.3399488925933838,291085,10000,0.25,0.5
26,0.125,510,13,0.15404319763183594,85325,10000,0.25,0.5
26,0.25,581,16,0.20208382606506348,141452,10000,0.25,0.5
26,0.5,722,18,0.2520885467529297,179880,10000,0.25,0.5
26,0.75,885,19,0.32122039794921875,270084,10000,0.25,0.5
27,0.125,387,15,0.12766051292419434,56165,10000,0.25,0.5
27,0.25,737,16,0.2101294994354248,136148,10000,0.25,0.5
27,0.5,502,16,0.24782109260559082,193404,10000,0.25,0.5
27,0.75,826,20,0.25562310218811035,190683,10000,0.25,0.5
28,0.125,505,15,0.15537428855895996,84046,10000,0.25,0.5
28,0.25,860,16,0.1829512119293213,121584,10000,0.25,0.5
28,0.5,908,22,0.25104856491088867,202246,10000,0.25,0.5
28,0.75,964,26,0.3103203773498535,260997,10000,0.25,0.5
29,0.125,862,15,0.15269851684570312,84173,10000,0.25,0.5
29,0.25,1015,18,0.21304035186767578,146091,10000,0.25,0.5
29,0.5,935,25,0.23255157470703125,172039,10000,0.25,0.5
29,0.75,789,19,0.286679744720459,224640,10000,0.25,0.5
30,0.125,683,16,0.14428186416625977,73318,10000,0.25,0.5
30,0.25,738,14,0.19710350036621094,126997,10000,0.25,0.5
30,0.5,945,19,0.2569727897644043,192572,10000,0.25,0.5
30,0.75,813,23,0.29195427894592285,224026,10000,0.25,0.5
