vertices_num,total_weight,solution_size,execution_time,num_operations,dynamic_combined_configurations,base_threshold,refine_threshold,percentage_max_num_edges
25,649,14,0.13764619827270508,100460,7500,0.5,0.75,0.25
25,790,21,0.34902334213256836,268179,15000,0.5,0.75,0.5
25,751,18,0.6851694583892822,601047,22500,0.5,0.75,0.75
26,546,13,0.059302330017089844,39965,4100,0.5,0.75,0.125
26,496,16,0.15247011184692383,117168,8200,0.5,0.75,0.25
26,615,16,0.3658161163330078,264354,16300,0.5,0.75,0.5
26,690,19,0.6258580684661865,528688,24400,0.5,0.75,0.75
27,503,15,0.0583803653717041,36512,4400,0.5,0.75,0.125
27,644,15,0.14431476593017578,92699,8800,0.5,0.75,0.25
27,718,18,0.44107770919799805,371189,17600,0.5,0.75,0.5
27,804,21,0.8060007095336914,670141,26400,0.5,0.75,0.75
28,513,16,0.07756805419921875,51139,4800,0.5,0.75,0.125
28,719,17,0.20694708824157715,162494,9500,0.5,0.75,0.25
28,830,20,0.6165816783905029,522334,18900,0.5,0.75,0.5
28,810,21,0.8498549461364746,694624,28400,0.5,0.75,0.75
29,875,15,0.0841531753540039,56048,5100,0.5,0.75,0.125
29,799,18,0.24842047691345215,185481,10200,0.5,0.75,0.25
29,705,19,0.5989871025085449,466713,20300,0.5,0.75,0.5
29,854,19,0.6689982414245605,462900,30500,0.5,0.75,0.75
30,672,19,0.08230209350585938,51196,5500,0.5,0.75,0.125
30,852,24,0.2679629325866699,198960,10900,0.5,0.75,0.25
30,928,19,0.40236783027648926,278262,21800,0.5,0.75,0.5
30,716,21,1.3874192237854004,1164690,32700,0.5,0.75,0.75
4,66,1,0.0003046989440917969,477,100,0.25,0.5,0.125
4,52,2,0.00041222572326660156,954,200,0.25,0.5,0.25
4,168,2,0.0005986690521240234,1368,300,0.25,0.5,0.5
4,90,2,0.0010666847229003906,2334,500,0.25,0.5,0.75
5,150,2,0.00039577484130859375,954,200,0.25,0.5,0.125
5,168,2,0.0005884170532226562,1366,300,0.25,0.5,0.25
5,50,2,0.0010445117950439453,2326,500,0.25,0.5,0.5
5,15,2,0.0018734931945800781,3857,800,0.25,0.5,0.75
6,78,2,0.0004088878631591797,954,200,0.25,0.5,0.125
6,74,2,0.0008022785186767578,1825,400,0.25,0.5,0.25
6,41,2,0.0018696784973144531,3795,800,0.25,0.5,0.5
6,46,2,0.003421783447265625,5993,1200,0.25,0.5,0.75
7,129,3,0.0007138252258300781,1436,300,0.25,0.5,0.125
7,69,2,0.0012691020965576172,2779,600,0.25,0.5,0.25
7,246,3,0.0031280517578125,5432,1100,0.25,0.5,0.5
7,120,3,0.005719661712646484,8081,1600,0.25,0.5,0.75
8,286,4,0.0010559558868408203,1939,400,0.25,0.5,0.125
8,77,2,0.0014979839324951172,3247,700,0.25,0.5,0.25
8,124,2,0.004301786422729492,6918,1400,0.25,0.5,0.5
8,64,4,0.02321791648864746,18664,2100,0.25,0.5,0.75
9,151,4,0.0012052059173583984,2349,500,0.25,0.5,0.125
9,86,3,0.0024344921112060547,4360,900,0.25,0.5,0.25
9,151,3,0.0074672698974609375,9451,1800,0.25,0.5,0.5
9,45,4,0.031960487365722656,24896,2700,0.25,0.5,0.75
10,123,4,0.0015184879302978516,2922,600,0.25,0.5,0.125
10,88,4,0.004313468933105469,6578,1200,0.25,0.5,0.25
10,118,4,0.029089689254760742,24867,2300,0.25,0.5,0.5
10,116,3,0.03210639953613281,23418,3400,0.25,0.5,0.75
11,172,4,0.0019638538360595703,3624,700,0.25,0.5,0.125
11,292,4,0.0059163570404052734,8402,1400,0.25,0.5,0.25
11,175,5,0.029990434646606445,22898,2800,0.25,0.5,0.5
11,236,5,0.0500030517578125,37471,4200,0.25,0.5,0.75
12,236,5,0.0028231143951416016,4748,900,0.25,0.5,0.125
12,202,4,0.008873939514160156,10781,1700,0.25,0.5,0.25
12,187,7,0.040967464447021484,32115,3300,0.25,0.5,0.5
12,207,6,0.08520269393920898,80798,5000,0.25,0.5,0.75
13,276,6,0.0035686492919921875,5492,1000,0.25,0.5,0.125
13,116,5,0.0228726863861084,17116,2000,0.25,0.5,0.25
13,238,6,0.04822206497192383,34565,3900,0.25,0.5,0.5
13,319,6,0.0883333683013916,69792,5900,0.25,0.5,0.75
14,184,6,0.00547027587890625,7149,1200,0.25,0.5,0.125
14,261,6,0.023594379425048828,15911,2300,0.25,0.5,0.25
14,149,10,0.06876564025878906,54069,4600,0.25,0.5,0.5
14,243,8,0.10065150260925293,70685,6900,0.25,0.5,0.75
